feature_1,feature_2,feature_3,feature_4,class
-40.75844,3.3205595,-2.9513333,-3.776154,glioma
-41.03743,8.668644,-11.828979,-1.7874502,glioma
-36.364044,-0.9384523,5.424168,-7.836253,glioma
-41.637074,-1.2112831,-0.006386683,-3.1405666,glioma
-23.176395,7.095901,5.725179,7.9291654,glioma
-19.800444,5.088838,5.78982,10.531294,glioma
-20.443903,-2.456219,13.272235,-8.526747,glioma
-22.839611,-2.1001518,7.8987966,-5.1948137,glioma
-37.27344,1.9065007,-3.8675108,-4.7337594,glioma
-35.7933,-5.4978757,1.0592469,11.599812,glioma
-19.068914,-7.9004107,7.4738803,17.004921,glioma
-31.691708,11.533556,-8.6419935,4.212807,glioma
-13.464614,3.8225567,12.257482,4.325467,glioma
-31.52139,1.9759033,-5.6847563,19.11643,glioma
-18.566185,-1.8625674,11.335598,-4.695279,glioma
-33.06964,6.748846,-2.5321405,-2.7665975,glioma
-31.804922,14.381426,-9.722881,-11.278136,glioma
-36.29484,3.4882526,-0.110661514,-5.8456545,glioma
-33.12917,9.509849,-3.7225394,-7.6736774,glioma
-36.670254,4.5861106,-1.7525332,-9.147864,glioma
-40.414227,0.12354392,-1.1514921,-9.22528,glioma
-41.57343,-0.16410059,-1.75592,-8.57605,glioma
-33.86341,7.770826,-2.2920544,-9.171174,glioma
-39.564693,2.4418213,-2.7181456,-8.4315605,glioma
-38.890022,5.716427,-6.31853,-6.8395457,glioma
-42.86129,-9.881387,6.6644983,-9.722131,glioma
-35.3313,-4.2120385,7.8011336,-10.693081,glioma
-30.736736,-0.6831171,7.860945,-10.912166,glioma
-30.794432,0.30260542,7.17276,-10.618027,glioma
-39.226585,-6.2925525,6.1215944,-9.222273,glioma
-44.845978,-3.7008932,0.9410873,-4.4499035,glioma
-43.606785,-1.3793652,-0.4807366,-3.468504,glioma
-44.804916,-2.0579295,-1.3597646,-2.9682436,glioma
-42.210045,1.9735396,-3.171611,-2.2379534,glioma
-47.39639,-2.4718843,-4.431033,-2.1910262,glioma
-41.019253,6.217424,-7.6477695,-1.1025993,glioma
-49.11339,-1.33541,-8.818112,-1.5728232,glioma
-24.983366,1.027616,9.72417,-14.083984,glioma
-27.132868,-1.6617985,10.020786,-15.319896,glioma
-50.26009,-15.007462,1.4654723,-11.218724,glioma
-32.181347,4.567298,0.81209326,-12.602779,glioma
-38.87205,1.5946342,-2.2190332,-10.305181,glioma
-43.879654,0.32871622,-6.4473886,-7.8507977,glioma
-36.73438,-8.503109,6.7214065,-14.770661,glioma
-38.44069,-10.431008,6.1406217,-15.329689,glioma
-39.010227,-9.134882,3.4879105,-15.17474,glioma
-38.72312,-8.858075,3.2330768,-14.843481,glioma
-40.609543,-10.920011,3.430083,-14.740232,glioma
-45.203354,-12.747147,2.5417688,-12.846284,glioma
-44.642212,-10.476025,6.2488995,-10.095765,glioma
-46.78665,-8.971854,3.1930377,-8.239057,glioma
-40.83237,-1.7260633,1.780565,-7.50092,glioma
-40.54618,0.92071,-1.128572,-5.7136526,glioma
-39.33781,5.7715635,-5.766635,-4.1134524,glioma
-43.301994,4.5026627,-10.106176,-3.0911753,glioma
-40.923595,10.246612,-15.795733,-2.1534457,glioma
-38.384216,-1.6277176,4.302291,-6.103033,glioma
-33.501358,3.087478,4.1744685,-6.0781627,glioma
-37.877975,0.8415835,1.5022324,-5.3912363,glioma
-27.221392,14.914113,-2.0816998,-7.255924,glioma
-36.103214,-4.833508,5.7278013,-13.167326,glioma
-34.320995,-4.398813,5.9552884,-14.648371,glioma
-43.08175,5.571041,-12.117469,-5.9991145,glioma
-41.05204,10.329572,-17.12996,-5.4608545,glioma
-47.004448,4.1951423,-17.633081,-5.3668003,glioma
-33.169586,-2.1100454,4.156642,-14.507414,glioma
-34.244865,-2.0319433,3.2626235,-13.696246,glioma
-37.341534,-2.7409556,1.9577483,-12.590108,glioma
-41.507076,-5.944319,1.8967247,-12.005646,glioma
-47.88826,-10.101583,0.7093919,-10.733345,glioma
-44.534744,-5.875716,0.10992215,-10.838581,glioma
-43.976124,-2.8387446,-1.8173357,-10.195642,glioma
-44.87105,-1.4852844,-4.2121696,-8.794696,glioma
-40.773,3.3388953,-4.9961677,-11.042742,glioma
-42.489384,1.4345332,-5.3884945,-10.513695,glioma
-42.965363,1.8004338,-6.258554,-9.765017,glioma
-45.279903,-0.11763762,-6.686487,-9.209626,glioma
-46.66766,-1.26597,-6.92877,-8.801364,glioma
-45.291115,0.5053091,-7.6959896,-8.328859,glioma
-41.05299,6.013689,-9.668252,-7.7675843,glioma
-40.879612,7.1066265,-10.525453,-6.9370575,glioma
-38.747353,11.332139,-13.067228,-5.900148,glioma
-42.318672,8.750601,-14.60711,-4.772891,glioma
-30.076738,15.790935,-10.465042,-6.411475,glioma
-35.233616,8.521178,-7.198661,-4.136384,glioma
-43.17484,-1.4480801,-3.3906925,-5.026301,glioma
-31.851892,7.2771096,0.11004594,-7.5057063,glioma
-25.394072,11.864496,1.7094748,-7.5758142,glioma
-30.239733,7.125458,1.1326365,-6.0958056,glioma
-27.097153,11.365866,-2.7499707,-4.199691,glioma
-23.534132,15.651793,-4.6702085,-3.7833533,glioma
-35.91762,15.414798,-14.934162,-3.9413545,glioma
-34.704693,19.54977,-20.87017,-2.9338963,glioma
-41.515327,12.322984,-21.27519,-2.6327655,glioma
-43.66352,-4.475574,2.5260003,-5.907042,glioma
-38.302563,0.6616381,1.9770474,-5.8909607,glioma
-43.739613,4.2316275,-10.261818,-2.3842404,glioma
-32.876816,5.262787,3.3629606,-4.6379776,glioma
-36.168888,2.004931,3.5402048,-4.1447625,glioma
-32.22589,6.602019,2.4938,-4.0835648,glioma
-45.495216,-5.625111,1.2183402,-4.619462,glioma
-41.83617,1.6434596,-4.0061626,-3.362615,glioma
-45.016544,0.2112806,-6.3195686,-2.8406155,glioma
-45.77681,3.266432,-10.947484,-5.0329084,glioma
-52.941998,-4.7509584,-9.783531,-4.942495,glioma
-50.08131,-0.56672144,-11.750151,-4.6743054,glioma
-56.641838,-7.827296,-10.9426365,-4.575335,glioma
-55.36019,-5.426704,-12.913268,-4.4537983,glioma
-50.459023,0.66609335,-16.28483,-4.274577,glioma
-47.87004,4.6214833,-18.875084,-4.334531,glioma
-50.493122,-3.8867178,-6.5771637,-2.3574011,glioma
-55.422295,-9.064409,-6.1667027,-2.6828883,glioma
-54.66403,-7.494253,-7.265089,-2.447249,glioma
-54.17124,-6.4768577,-8.198985,-2.1898763,glioma
-54.675495,-6.058126,-9.58585,-2.1437237,glioma
-56.238117,-7.3008614,-10.542793,-2.386687,glioma
-51.215393,0.1215968,-14.206201,-1.8930951,glioma
-49.412327,0.9906565,-14.323226,-3.3761759,glioma
-48.54498,3.179916,-18.147526,-3.1803994,glioma
-47.26479,4.9973035,-19.86608,-3.1465313,glioma
-31.493837,13.583857,-9.610157,-3.2159493,glioma
-33.760155,7.5811744,-3.6495197,-3.5066483,glioma
-29.750832,13.207845,-6.3937464,-3.2248888,glioma
-31.252651,14.553619,-10.062005,-3.0041673,glioma
-30.178635,19.355795,-14.931001,-2.4688666,glioma
-22.589539,31.874115,-22.600483,-1.4606934,glioma
-31.889872,8.44758,-1.202964,-6.5486674,glioma
-41.512165,-1.3679162,-0.6961984,-6.0052066,glioma
-29.68939,10.0370655,-1.8586968,-5.8724146,glioma
-39.731705,0.8512313,-1.9661963,-5.0646806,glioma
-39.810986,1.0967559,-2.1639454,-5.061964,glioma
-38.64853,1.807902,-1.7200512,-4.8728957,glioma
-28.652641,11.3075,-2.0437787,-4.640083,glioma
-33.571262,6.152322,-1.7569324,-4.426285,glioma
-36.24988,11.52739,-10.039813,-5.1422048,glioma
-33.742435,15.894949,-12.552364,-4.1913033,glioma
-39.91056,10.514514,-13.869375,-3.6885781,glioma
-38.601475,13.302418,-17.000816,-3.0146422,glioma
-36.51846,17.10132,-20.533743,-2.326165,glioma
-39.50801,13.942754,-21.310001,-2.1627786,glioma
-40.173344,2.3369029,-4.264849,-2.6316445,glioma
-46.124893,-2.2190034,-5.876734,-2.3586228,glioma
-40.815044,5.739453,-9.70225,-1.2672187,glioma
-43.351463,5.174861,-12.413707,-0.8738922,glioma
-39.90888,13.864361,-21.35291,-0.043737322,glioma
-47.380264,6.1864047,-19.970505,-1.6299392,glioma
-46.672226,8.247725,-20.065077,-2.5252042,glioma
-38.136017,6.5705733,-6.419689,-6.9093795,glioma
-38.86192,7.084478,-7.4097247,-6.313023,glioma
-41.546513,5.671224,-8.852903,-5.4783115,glioma
-41.317028,7.1674213,-11.475056,-4.715819,glioma
-46.303574,2.7774343,-12.679835,-4.2420483,glioma
-42.595272,8.115534,-16.507925,-3.685347,glioma
-38.938126,-0.20093395,2.5687222,-1.2167257,glioma
-41.275948,-1.9887694,1.8269825,-1.6548588,glioma
-47.95795,-6.610931,-0.31092766,-1.8792115,glioma
-42.523773,0.079952344,-2.6080418,-0.96779984,glioma
-46.9502,-1.7299224,-5.738839,-1.0283602,glioma
-40.650604,7.316964,-10.274376,0.29647365,glioma
-45.530796,4.6173224,-13.650335,-0.24670866,glioma
-40.27213,0.6145478,-3.4972508,-9.639903,glioma
-43.10014,-2.9061806,-1.5779117,-10.615279,glioma
-47.825455,-3.3241103,-4.9884877,-5.4744463,glioma
-37.855644,5.530982,-4.8191123,-7.117413,glioma
-36.77113,6.877035,-5.1215386,-7.6815534,glioma
-40.350643,1.7134124,-2.597257,-0.97778964,glioma
-47.235485,-5.3913283,-1.6806929,-1.4270978,glioma
-42.3388,5.9214435,-10.682896,-0.24831308,glioma
-46.968704,3.1185076,-13.212511,-1.0134475,glioma
-37.83478,4.212656,-2.5849855,-0.58084536,glioma
-33.628883,9.03404,-3.2964745,-0.21206525,glioma
-37.86607,4.1446757,-2.3407824,-0.5035584,glioma
-37.605038,5.047582,-2.8081415,-0.292296,glioma
-36.66569,5.938691,-2.6885877,0.042742502,glioma
-46.598625,-3.2677412,-3.4240098,-0.84539694,glioma
-48.95421,-5.0061326,-4.426692,-0.70552415,glioma
-48.039413,-2.0776463,-7.084805,-0.57804465,glioma
-39.260555,2.9103038,-1.5092651,-1.6271954,glioma
-35.806255,5.940697,-1.4759915,-1.8630171,glioma
-41.721092,4.3151135,-5.1503882,-2.5603914,glioma
-44.290924,1.401541,-4.9832196,-3.5067782,glioma
-46.57493,-0.7979127,-5.1129756,-3.686562,glioma
-38.757305,-6.0919447,8.387521,-10.1861315,glioma
-37.05417,-3.9622183,7.187478,-10.130307,glioma
-47.92608,-12.770699,5.027982,-8.6624565,glioma
-36.835705,6.6393666,-4.37316,-7.8857107,glioma
-44.994713,-2.1713572,-2.934716,-8.099346,glioma
-49.128727,-5.9808826,-2.5060844,-8.257623,glioma
-46.384827,-1.1962892,-5.1991014,-7.390008,glioma
-44.25305,1.7463862,-6.4792724,-7.1359453,glioma
-25.867403,6.790586,1.6372343,-14.370618,glioma
-35.200108,-1.4809318,0.93151397,-13.324278,glioma
-29.640387,5.6355257,-0.25797334,-13.642963,glioma
-27.595919,10.973335,-2.5668528,-12.859604,glioma
-50.848835,-11.024953,0.3561815,-3.709639,glioma
-51.100986,-10.260443,-0.35897568,-3.948837,glioma
-58.38712,-17.785166,-0.40729454,-3.9471169,glioma
-29.82061,6.3021045,1.3871626,-12.82702,glioma
-47.361263,-5.855999,-2.13978,-9.563161,glioma
-39.382057,2.7211325,-4.3079195,-9.681216,glioma
-38.534355,4.594739,-5.6361995,-9.087004,glioma
-42.386715,0.17643182,-4.2183495,-8.500506,glioma
-33.00699,4.1096168,4.0312295,-1.4245806,glioma
-37.91699,-1.2978408,5.611178,-2.270549,glioma
-35.773876,0.59665495,5.4540367,-2.8228946,glioma
-35.567623,1.772334,4.3890734,-3.057724,glioma
-39.317863,8.776114,-10.497421,-6.1139493,glioma
-42.537186,6.6294346,-12.997942,-5.4565864,glioma
-43.69512,6.896121,-16.026505,-5.040448,glioma
-48.93132,2.4880683,-14.400479,-3.5095503,glioma
-48.07329,3.8026829,-14.7425165,-3.0496476,glioma
-51.835407,-0.97711265,-13.326325,-3.1081765,glioma
-51.518265,-0.2027526,-13.754792,-2.6424522,glioma
-53.03094,-1.9491357,-13.432935,-2.7307436,glioma
-54.588264,-3.5137892,-13.391576,-2.5506213,glioma
-42.461246,-1.6405206,-2.111713,-10.6057625,glioma
-36.04796,4.858979,-2.1555426,-11.218791,glioma
-40.546364,0.6550628,-1.869905,-10.43196,glioma
-38.369022,4.510937,-3.0979323,-9.73601,glioma
-36.496056,11.356902,-8.369417,-7.1359124,glioma
-47.738697,0.91960454,-9.762503,-5.458146,glioma
-46.08241,4.8344116,-13.933292,-4.822451,glioma
-40.79038,12.271875,-19.317785,-4.471538,glioma
-41.88613,-2.9296856,2.5446978,-3.0774987,glioma
-32.08735,5.7689333,3.9860723,-5.406669,glioma
-42.49818,-3.531644,3.4056602,-5.7655463,glioma
-40.914158,-2.5096908,3.3802533,-5.6766167,glioma
-34.967285,4.7520676,1.1684563,-5.1711664,glioma
-38.554726,0.01652462,3.4921472,-3.9476836,glioma
-41.359875,-0.18483323,1.0167794,-2.7283707,glioma
-39.304688,4.338386,-2.5019941,-1.4121894,glioma
-41.78568,4.768662,-6.976647,-0.594271,glioma
-40.941597,7.9546905,-11.7136755,0.28225738,glioma
-39.660194,12.403495,-17.101797,0.66659623,glioma
-48.546524,2.9386883,-16.732468,-0.3705307,glioma
-51.631657,0.3081401,-17.13103,-2.7997744,glioma
-52.889282,-0.9449815,-17.436823,-3.4128184,glioma
-56.48568,-4.589179,-15.746955,-4.0129323,glioma
-42.882862,1.1966771,-4.55327,-7.7035627,glioma
-43.29159,6.305984,-12.057303,-5.2570305,glioma
-42.726635,6.5282807,-10.593006,-6.1300135,glioma
-42.033783,7.080008,-10.299577,-6.1847773,glioma
-42.722897,6.1479936,-10.391589,-6.5435243,glioma
-47.671017,0.5139934,-9.378329,-6.0856185,glioma
-50.418846,-2.5892246,-8.991804,-5.9661946,glioma
-29.41234,7.055439,2.5482106,-4.10457,glioma
-34.794678,0.21793084,4.306491,-5.2522736,glioma
-38.838264,2.0427527,-1.5252151,-1.2707671,glioma
-35.07412,9.230537,-6.283345,-0.4103258,glioma
-36.862946,12.013722,-12.655236,-0.09450361,glioma
-27.620398,5.5242634,4.9567084,-6.6348677,glioma
-28.561329,3.688737,5.608924,-6.2190886,glioma
-34.939495,-4.37577,7.2136393,-4.9044075,glioma
-38.475006,-7.182337,6.6789646,-3.9949613,glioma
-35.041363,9.043668,-3.083214,3.7394917,glioma
-30.549139,15.938692,-6.931405,3.5432942,glioma
-38.68651,7.5630755,-7.366092,2.3598132,glioma
-38.252773,9.328123,-9.8836975,1.8832555,glioma
-35.945133,15.850061,-16.057436,0.8159407,glioma
-40.636303,12.047689,-17.621101,-0.2858477,glioma
-49.54811,-5.327996,-3.538096,-8.180743,glioma
-51.59601,-7.010953,-4.4887524,-8.120904,glioma
-49.42765,-4.5634103,-5.3226304,-8.174585,glioma
-50.44255,-4.741181,-6.5375185,-7.875158,glioma
-38.11449,-6.8745174,12.683051,-5.346208,glioma
-37.25513,-4.6800017,10.627838,-4.6948533,glioma
-37.501656,-2.6812572,7.3025002,-4.0094123,glioma
-29.439259,15.625445,-7.918013,-8.123899,glioma
-40.57375,5.106327,-7.2959814,-7.267945,glioma
-32.758698,12.4687395,-6.720545,-7.834601,glioma
-38.469467,8.266337,-7.711115,-7.0859456,glioma
-43.972725,4.9540644,-10.857452,-5.4041386,glioma
-37.453266,12.495432,-13.191607,-5.741506,glioma
-42.08316,9.220009,-14.611839,-5.7558618,glioma
-50.127525,0.784913,-15.441217,-5.1821656,glioma
-34.866127,1.8710995,6.037943,-5.787305,glioma
-38.24452,0.70050126,2.7517073,-6.6463842,glioma
-37.379345,1.8698422,2.2903316,-6.2374315,glioma
-43.41347,-2.7401228,1.2103034,-5.481072,glioma
-39.907005,4.0875807,-2.3638725,-3.5166042,glioma
-35.76074,10.206417,-5.41758,-2.5465462,glioma
-37.76849,5.6719136,-1.8012062,-3.0869777,glioma
-42.664913,1.7207245,-3.0934544,-4.3040853,glioma
-43.78086,1.5584561,-4.4556856,-3.8401341,glioma
-42.017136,4.4650106,-5.822393,-3.3197937,glioma
-42.553993,4.6384783,-6.9497547,-3.0002763,glioma
-47.303967,0.97277576,-8.843191,-2.2210822,glioma
-41.75425,8.375969,-11.738359,-1.6994938,glioma
-45.48993,4.989098,-12.695719,-2.0515823,glioma
-37.71,1.0034144,2.8465755,-7.706341,glioma
-34.732964,5.1340766,2.1057458,-7.0699377,glioma
-38.733883,2.5005603,0.9282376,-5.9090815,glioma
-40.93633,2.7584465,-2.1914778,-4.639342,glioma
-43.559036,2.512083,-5.701618,-3.5374353,glioma
-35.26682,15.038316,-12.417065,-2.478328,glioma
-41.16613,10.525658,-15.7299795,-2.4640348,glioma
-34.274193,21.410147,-22.805086,-1.7254704,glioma
-46.344612,3.6725554,-12.816315,-5.6422234,glioma
-41.225655,10.645467,-16.54141,-4.975961,glioma
-49.641674,1.8561339,-15.940511,-4.702539,glioma
-43.986996,9.203589,-20.090744,-4.1875143,glioma
-49.37903,3.3704333,-18.992392,-4.1316886,glioma
-50.505207,2.6950212,-18.837479,-4.323508,glioma
-33.83542,-1.0995717,6.653102,-8.948645,glioma
-36.728924,-3.3618548,7.3326902,-9.394683,glioma
-36.952156,-1.1871511,5.4177985,-7.686023,glioma
-39.725372,-3.1079378,4.367221,-6.3093185,glioma
-42.470287,-4.1857185,2.322387,-5.513497,glioma
-39.40828,-0.38225332,1.2971196,-4.7663345,glioma
-42.187008,-0.40663397,-1.3908293,-3.7879422,glioma
-42.199833,-1.4718525,0.0048359404,-3.1211815,glioma
-45.0928,0.11666378,-6.179929,-1.930769,glioma
-41.09354,7.691811,-11.480001,-1.2182881,glioma
-39.364662,5.296859,-7.3529673,-11.03805,glioma
-23.78985,6.8986506,5.743033,7.879112,glioma
-33.956345,-12.102933,11.2427435,-3.3724644,glioma
-23.599808,3.4688325,6.3407254,-0.32144085,glioma
-22.81545,8.311876,1.0178967,10.111793,glioma
-20.655304,4.823844,5.557044,10.300264,glioma
-14.400236,4.277907,10.698511,10.051012,glioma
-15.265416,0.9806698,13.958954,-3.033694,glioma
-22.31531,-2.992569,13.331073,-5.3877673,glioma
-21.001785,-2.6473522,13.297271,-8.32374,glioma
-21.085634,-1.8904943,13.473621,-8.183426,glioma
-15.990731,1.5464616,14.44157,-8.805656,glioma
-25.316761,-0.93856746,11.8237505,-8.130424,glioma
-23.573118,-2.287563,7.931613,-5.3380213,glioma
-23.19813,-2.276376,9.6939125,-4.3836527,glioma
-13.395395,5.145547,10.906274,-1.5556946,glioma
-19.638937,5.2293577,7.2555847,-2.7502282,glioma
-27.375713,7.601717,-1.2694743,-4.3814616,glioma
-37.99037,1.7909114,-3.8404553,-4.8138847,glioma
-31.066095,14.056354,-11.3166275,-4.060952,glioma
-26.548353,-8.382683,9.603538,11.92881,glioma
-27.19914,-3.0853586,7.4439692,12.018965,glioma
-36.448265,-5.643619,1.0574542,11.673536,glioma
-24.916197,5.8957872,-2.6244369,16.16519,glioma
-32.588852,3.670045,-6.13319,14.252654,glioma
-41.93141,0.89358556,-8.705086,8.434377,glioma
-49.689663,-7.451681,-3.6620374,-3.2965753,glioma
-39.379105,-0.4999757,-0.8964389,-3.896051,glioma
-32.718304,-0.28195673,5.5306044,-6.624006,glioma
-29.432407,-0.51941967,8.222793,-7.399522,glioma
-24.270357,1.4740856,8.976106,-8.8667,glioma
-27.066753,-4.617236,10.382237,-8.26351,glioma
-55.396347,-8.508813,-9.417852,2.9656496,glioma
-41.727844,3.759316,-10.168809,8.529056,glioma
-19.773525,-7.9922314,7.412097,17.103651,glioma
-26.03822,-13.773985,7.6014304,14.985341,glioma
-14.163075,-9.948426,10.153369,17.851053,glioma
-21.547918,-16.323141,11.365392,14.926719,glioma
-38.37224,2.6390743,-8.209632,11.502316,glioma
-33.273724,2.469402,-5.985147,15.39788,glioma
-35.446133,-4.1698284,-3.4510684,15.490456,glioma
-29.03057,-2.9195554,-1.7800462,18.090687,glioma
-22.899124,-1.7060963,0.8073578,19.231392,glioma
-17.523184,0.22502194,1.9239471,19.295551,glioma
-20.988739,-3.917804,3.054489,17.524862,glioma
-26.089788,-8.832144,4.282011,15.186308,glioma
-33.61327,16.799673,-15.910986,1.858192,glioma
-32.503353,11.553611,-8.700461,4.062622,glioma
-25.020967,-5.908899,10.557972,3.7454698,glioma
-31.834152,5.1389203,-2.2203774,6.3756437,glioma
-29.250404,1.0453486,2.8668149,8.07375,glioma
-26.618097,-1.3974177,6.0563583,6.590178,glioma
-16.766878,3.32915,9.834772,5.7183447,glioma
-14.099176,3.6335115,12.309599,4.2396135,glioma
-13.615547,1.1977661,13.464304,4.516364,glioma
-15.744282,-2.101606,14.155218,4.7743864,glioma
-12.104504,-1.1803921,14.669712,6.368732,glioma
-33.334805,1.9049953,-6.5936337,19.757008,glioma
-32.162094,1.7769495,-5.5336146,19.13494,glioma
-25.208656,7.440953,-4.0983577,21.338291,glioma
-22.989124,6.750963,-1.3839467,22.710953,glioma
-21.598728,7.6409464,-0.7647852,23.548252,glioma
-36.15529,-7.6333795,1.0187222,17.94216,glioma
-21.193785,-9.22785,7.740173,-7.912217,glioma
-19.954529,-2.8106713,8.1757555,-6.3129954,glioma
-24.083195,-2.7858267,7.289239,-5.8641205,glioma
-30.603865,-2.7830672,5.4117823,-5.8921003,glioma
-19.788782,-4.1678267,11.447768,-5.6673355,glioma
-19.258064,-2.0730262,11.41108,-4.845083,glioma
-18.114515,-0.5919394,12.371909,-3.3177195,glioma
-27.216738,-5.1675105,10.374431,-3.6465313,glioma
-36.381588,-9.91297,8.380388,-2.9292254,glioma
-53.845066,-4.5887375,-12.221317,0.27121276,glioma
-47.059246,0.7132998,-12.180679,2.3360403,glioma
-47.33986,-2.7263772,-8.955179,2.69985,glioma
-44.885296,-3.1663904,-6.879296,4.460666,glioma
