feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,class
-52.890774,-4.5432043,-8.810354,4.2874923,-6.4926214,4.7471056,3.4010165,6.842365,9.792931,0.18634142,glioma
-23.662434,-1.0440278,-0.50718606,29.588617,2.151997,9.432207,1.5557253,5.1342435,2.9234214,1.2350832,glioma
-29.466957,-4.253766,-0.6559337,23.752518,5.538868,8.152409,4.149924,1.1086272,0.5266542,-0.970049,glioma
-36.029465,5.0483246,-2.9247072,8.831943,8.150956,5.314002,-1.0211067,-3.8685133,8.253002,1.6621426,glioma
-22.610905,-0.8778542,-0.13951492,-10.597761,1.034562,10.098575,13.347408,-3.2845073,-1.8754452,4.2465224,glioma
-5.821112,-14.433357,4.91145,18.234343,-2.3418665,-5.464048,-2.3647852,-6.1231174,-9.199619,5.4779544,glioma
-4.0128155,14.797651,-8.769687,12.542735,-9.148545,2.1239805,-8.99676,2.432423,-1.6182865,-18.454395,glioma
4.928124,-15.430303,14.276382,2.2662852,-12.9368515,-3.2201667,-0.85183024,0.55518,-7.2790236,3.3308573,glioma
-14.278606,11.777532,12.714249,12.6848755,17.200947,5.201492,1.3255877,1.4001276,8.567475,-6.915327,glioma
-42.33522,-2.7967012,2.730265,7.032792,10.127833,5.380659,1.4348004,0.95577526,10.568264,-1.7638584,glioma
-21.296438,4.834762,1.1783204,18.923256,12.16828,7.527679,-3.0357265,-6.0062947,-0.7063774,1.6037613,glioma
-14.791303,10.250111,9.418228,6.3578215,9.426314,5.14612,6.6936297,-3.6042798,-10.664552,-5.0347233,glioma
3.0080135,-4.9221463,6.8211584,-11.869546,-7.949526,-11.169976,-0.6273976,-0.9500809,-0.52786046,-14.385381,glioma
9.169935,-25.81715,-10.878684,-7.911647,5.279194,-11.324312,2.1245677,3.933748,3.6834676,11.291253,glioma
16.172977,-10.854738,0.5109284,3.2439404,-0.87561816,-9.795823,-2.054563,-1.9130136,-2.2098732,11.93679,glioma
6.9524727,16.865654,7.6924973,-5.148487,7.6775584,-0.46877268,0.41431314,-3.4674778,-5.7489986,9.234085,glioma
-24.02254,0.4455136,2.7615304,-2.6346924,0.28617164,-3.1574225,-13.539361,7.3465037,4.594241,6.369343,glioma
7.455376,-2.7395117,0.056948338,-16.136387,-4.4457994,-17.529436,-4.195386,1.3868332,-4.531916,17.666386,glioma
-36.263344,7.6779747,-0.91485417,-5.2968907,9.642206,-6.6504607,-2.1440623,-8.226009,-3.1100888,-2.603464,glioma
-51.817616,-1.2367411,-7.0732923,-4.282709,5.3932967,-1.6800112,-5.769553,-6.2994523,-0.21704282,-1.3009938,glioma
-31.369574,9.686148,1.2352852,-6.5389237,5.772502,-7.1988215,2.0837636,-5.288085,-3.6827898,-3.8971682,glioma
-36.131237,15.36335,-12.127901,-3.0484467,2.4148247,-0.48032397,-6.560028,-7.8202357,0.82945883,-0.33647546,glioma
-31.558043,17.976528,-10.706628,-5.9906964,4.2244782,-3.0547595,-8.699459,-7.3908834,-5.3405337,0.43344718,glioma
-41.349323,13.871114,-19.878832,-4.3777013,-14.938579,0.1177157,-6.1261487,5.492482,2.8336344,2.7115192,glioma
-46.437046,6.274716,-16.254963,-5.479644,-10.333794,1.9999981,-4.276398,3.4927487,1.4865047,1.7662791,glioma
-29.56709,9.111469,5.5854807,-3.4440062,12.632821,-6.966824,-0.61504954,-4.6193256,-1.0592918,-0.51672107,glioma
-32.729656,13.421328,-6.3335376,-6.1556344,5.280832,-4.886822,-5.0018063,-9.168364,-3.467449,3.2277777,glioma
-41.287334,2.5757725,-1.1761228,-8.85251,3.845741,-7.2903695,3.1617296,-6.9008203,-2.3622,2.431276,glioma
-43.002354,3.826544,-4.2944527,-7.196015,4.5903945,-5.817259,-0.24368827,-8.14966,-3.6148813,-0.25122023,glioma
-41.280342,8.668624,-7.703173,-0.8366415,2.1277437,-0.5233621,-3.1256502,-1.9990271,4.179948,4.7515397,glioma
-41.749718,0.7575694,1.9299828,-7.1020374,7.9414344,-7.7070856,-0.75042254,-7.1940565,-4.0622163,2.2323763,glioma
-34.145515,5.112257,4.486506,-5.6511087,9.956177,-7.5299735,-2.8676486,-1.8378766,-2.445251,-3.2036514,glioma
-35.521534,7.166659,-1.5787333,-5.423597,8.98464,-5.4770956,-7.2318172,-6.8374696,-5.7892127,-1.3947887,glioma
-56.06254,-4.008415,-7.4912887,-2.4218524,1.134968,-0.26666173,-1.4602678,-4.9314833,1.8840559,0.40213367,glioma
-46.579456,9.076303,-20.609324,-4.151241,-21.785805,2.0117533,-2.7189088,12.740853,-0.0820666,-0.19131556,glioma
-31.561493,10.989524,-1.274117,-5.8722396,8.95363,-7.0124626,-3.6601436,-15.052056,-7.6430755,-2.8399909,glioma
-38.57451,17.321142,-21.686596,-3.020458,-19.75466,0.8808122,-4.9897385,7.9834437,2.6553378,1.2075053,glioma
-48.86533,-0.25103047,-5.3256407,-4.927398,6.282189,-3.374741,-6.951156,-7.2387967,-3.1779184,-0.008271273,glioma
-42.786797,8.5820265,-10.980521,-0.16655181,1.0606451,-0.736506,-6.3050814,-3.4193609,4.899902,1.8260242,glioma
-47.799473,-0.29447109,-3.6297176,-0.66942596,4.912365,-0.54693675,-3.2449393,0.10543073,4.688452,-0.58992827,glioma
-42.20797,7.1216154,-5.3152833,-2.299711,3.8583667,-3.0290744,1.2445806,-10.92115,-0.6035824,-1.4419981,glioma
-27.791739,12.735312,-2.4174674,-12.467086,2.9051986,-5.9703317,-1.2517399,-5.6108837,-4.806153,-3.5711434,glioma
-49.39887,5.7898393,-14.755517,-3.8099015,-9.279474,0.90881836,-1.7977221,0.97941816,2.1830184,1.965215,glioma
-55.600037,0.06721421,-13.725838,-2.944689,-9.510391,1.0761489,-1.4649706,2.2638366,3.655749,1.591505,glioma
-35.469467,6.9049635,1.196853,-4.501956,9.944676,-7.422552,-1.8980523,-6.9007735,-1.3503402,-2.4107866,glioma
-42.773033,9.686572,-10.883958,-5.884711,0.820324,-2.2724187,-5.607425,-8.804217,-3.3621345,1.3368689,glioma
-40.007538,-4.97989,6.5437655,-3.856389,4.155902,-3.369286,-1.5587122,4.551506,1.7383349,-2.050702,glioma
-35.108803,18.81867,-16.388556,0.68618196,-4.2389894,0.3349769,-5.9132166,-2.7402434,6.768421,3.7353098,glioma
-40.99819,7.898153,-7.5587134,-6.8138566,5.377509,-4.5723295,-5.6513042,-9.439405,-4.500736,0.70889723,glioma
-37.075516,15.27031,-13.376799,-5.635661,-1.7240599,-2.5572028,-5.6235957,-7.401146,-3.4438205,1.6789169,glioma
-31.283022,7.4374294,6.107114,-5.904432,15.290946,-11.564768,2.3561532,-11.116707,-3.1464407,-2.3907347,glioma
-43.440372,8.859816,-12.449604,-6.092501,-1.4338928,-0.88237524,-5.358951,-4.4071627,-2.4679246,-0.71245575,glioma
-45.77352,-3.0787373,0.32841906,-10.37049,3.4071848,-5.188123,0.0729339,-3.5916014,-2.6959982,-3.2349548,glioma
-43.484455,4.6267223,-6.30807,-9.914595,-1.2842718,-5.0453844,2.9602966,-6.112644,-4.5020285,2.281313,glioma
-1.0146337,6.9244485,3.7253785,26.430094,-1.9822198,14.041313,-2.8440073,10.778494,-0.023131918,6.953116,glioma
-42.871017,1.557047,0.85213035,-4.654561,12.578062,-7.815963,-0.64105684,-12.1978245,-3.2364686,-2.3511193,glioma
-47.434742,3.31816,-7.358598,-5.0417776,5.9768615,-4.336212,-1.7860556,-12.889947,-2.4344022,1.0529011,glioma
-50.80474,-1.0700291,-5.7507825,-5.6408186,4.044022,-4.252424,-1.0610507,-8.626131,-1.907663,-0.71908987,glioma
-48.32747,6.577871,-14.769409,-3.95007,-5.1941385,0.52145,-4.822296,-1.7156523,2.6093419,2.4516096,glioma
-24.324669,-3.1168904,5.22423,-11.303207,3.10423,5.988663,4.7117887,-3.6475945,3.6514485,0.16227095,glioma
-29.245216,0.5407982,4.703997,-8.319179,-1.6521277,-3.5300534,8.516345,2.2367082,-4.902052,7.091993,glioma
-16.25874,-5.874398,16.353445,-5.080323,0.61867934,0.8746583,3.7899678,4.9469314,1.1590978,-1.1766111,glioma
-38.297497,-4.4377794,-1.3611342,18.267292,3.1811125,6.0879693,2.0288339,3.385681,6.6095247,1.5961822,glioma
-23.847937,18.68928,-7.12533,10.605675,7.7175164,6.17924,-2.9037406,-2.5821743,9.839464,2.816926,glioma
-42.88666,1.368993,-0.38739282,-5.416468,5.4122033,-4.238365,1.3601997,-1.1792004,1.0516446,0.02768977,glioma
-6.1729856,6.7559557,13.88254,0.64922,0.3199507,0.6292885,16.261297,4.762001,-7.1103954,-6.168596,glioma
-16.12303,9.0170965,7.780505,8.606117,13.5657015,2.0796452,-3.6720297,-2.1792836,-5.963198,-8.20581,glioma
-8.047199,-0.8156585,11.093373,23.082474,7.549191,9.124361,-5.077993,2.3582938,-7.621948,-7.0328407,glioma
-23.792652,3.6903062,2.622196,14.6875515,13.074276,6.379753,-2.4806273,-4.9362016,-2.0157428,-2.1166496,glioma
-42.772717,2.2676404,0.21773794,-3.9235446,11.462728,-6.931636,-0.9212071,-11.536003,-3.275521,-1.6217761,glioma
-41.75937,5.990288,-2.926069,-3.1049478,14.858559,-6.362313,-5.5609355,-16.2223,-2.2758508,-0.71023995,glioma
-41.218517,11.788017,-12.000651,-1.612346,3.598815,-0.9181482,-7.484472,-6.770146,4.4623837,4.4271464,glioma
-37.991238,1.0640259,5.507227,-7.3370857,7.4247217,-7.945266,1.8336453,0.178898,-0.59726936,-2.1468124,glioma
-43.27231,1.1485134,-0.116020806,-2.6798646,7.339641,-3.9011972,-3.7495503,-2.1165998,1.2901235,-2.8072078,glioma
-24.208063,8.262215,5.5454955,8.370155,12.384698,4.6171694,2.679321,-2.098647,-0.6883628,-3.5026522,glioma
-20.631182,6.151208,5.7771444,11.366629,15.76647,2.9390247,-6.582673,-3.239856,-0.69662386,6.384785,glioma
-21.669786,-1.702498,14.070268,-8.754377,0.74636185,-6.3322268,6.662663,5.2249603,-6.443722,-4.8883433,glioma
-24.581228,-1.0576253,7.690171,-5.053067,2.0394554,0.28264847,11.6100645,1.3540325,-1.3234483,1.387645,glioma
-38.667118,4.1518226,-4.0700264,-4.3791714,4.8493733,-4.5645275,-2.4974558,-5.569402,-3.309106,1.5376999,glioma
-37.8551,-3.4387062,0.38668826,12.209692,9.920818,4.7698197,-1.689657,-6.8679423,-0.5303253,0.19472449,glioma
-21.015821,-6.8418245,7.2577076,17.73093,12.360076,-2.55633,-5.3018146,-4.4768996,-5.857674,-2.306037,glioma
-31.8358,13.907283,-8.817382,4.130445,1.1783997,0.7154201,-2.971823,2.8562768,11.728434,5.711239,glioma
-13.878454,4.1849523,13.157338,4.8259373,7.337409,-2.2304857,-3.9375513,-1.0550429,-8.537034,2.2673447,glioma
-32.259403,4.0225744,-6.3663473,19.613789,1.4498746,8.58166,1.9808732,1.3867192,6.3516216,5.916344,glioma
-19.967686,-1.0982702,11.583578,-4.5069313,2.2763157,-1.8652987,4.1282606,3.1555686,-3.9876525,6.535535,glioma
-33.915215,8.808543,-2.7102506,-2.4781704,3.0308497,-3.4981074,4.6164255,-7.0472703,-1.4715787,-3.1886797,glioma
-32.372635,16.143167,-9.798793,-11.443905,-4.300554,-4.5882897,0.579374,-4.4994802,-7.5837903,1.1488733,glioma
-37.68725,5.5020866,-0.19012216,-5.526828,5.351011,-4.7157226,2.13366,-0.49586856,2.1019118,0.626271,glioma
-33.72024,11.76804,-3.849308,-7.3097405,6.704723,-5.8625855,-3.6258562,-10.861727,-4.5946755,-1.406545,glioma
-37.92458,6.75682,-1.9476546,-8.745323,5.7389913,-7.0116887,-1.012574,-9.621003,-5.1801386,-1.6041611,glioma
-41.96101,2.4652562,-1.2810607,-9.001728,3.7035496,-7.184291,2.75719,-6.8462095,-2.1535459,-1.1954616,glioma
-43.168606,2.2603579,-1.9219909,-8.289517,5.2127843,-6.575051,2.617152,-7.6018662,-1.9244608,0.0984567,glioma
-34.764183,9.742938,-2.2000844,-8.908178,6.3541,-8.0423155,2.375297,-9.074961,-3.2247994,0.40942392,glioma
-40.959457,4.758087,-2.8581488,-8.114105,5.920146,-6.9536705,1.1003615,-8.127643,-3.074096,0.4785679,glioma
-40.03468,8.021054,-6.5597672,-6.5162244,5.2230864,-5.343082,-2.7580957,-10.109091,-4.8961563,0.68691844,glioma
-45.17622,-7.4369483,6.489805,-9.132053,7.4770794,-5.916483,-5.9901795,-0.18028311,-4.106957,-3.1638663,glioma
-37.202576,-2.3020504,7.8659234,-10.208669,6.4083233,-7.3437376,-3.2172253,2.5070243,-2.669729,-2.6344345,glioma
-32.284374,0.92403394,8.065711,-10.49569,5.151377,-7.484669,-2.889478,5.5899553,-1.2419788,-1.3837034,glioma
-32.40871,1.9620254,7.2590137,-10.2052965,5.1397614,-8.038317,-3.3053398,4.4528856,-1.5325311,-1.4182882,glioma
-41.28344,-4.088696,6.1149974,-8.838534,4.591831,-6.7966604,-3.343835,3.5491478,-1.2606629,-1.0135489,glioma
-46.728683,-1.122561,0.7582411,-4.0786905,6.369202,-4.270889,1.6518451,-4.0160546,0.9979102,-3.4108868,glioma
-45.299183,1.1397552,-0.6576836,-3.177947,5.555145,-3.5017421,0.6796962,-3.5673616,1.8562402,-3.315227,glioma
-46.54288,0.55968446,-1.5657575,-2.6851408,5.31946,-3.000489,-0.25160542,-3.564206,2.2895448,-2.882589,glioma
-43.645447,4.459777,-3.3278434,-1.9707432,4.7442927,-2.416033,-1.5901743,-3.7829611,2.4029596,-3.0298026,glioma
-49.151222,0.35893452,-4.6884584,-1.974015,3.8491101,-1.1227275,-2.4864213,-2.8605037,3.1820786,-2.0624263,glioma
-42.050182,8.704707,-7.822021,-1.0148977,2.0624738,-0.48460415,-3.7392688,-2.570202,4.9593177,-1.9189324,glioma
-50.732697,1.6402398,-9.137426,-1.5718149,-0.4700805,0.08417329,-4.084903,-0.44070598,5.923385,-0.5705323,glioma
-26.42777,2.2353182,9.902703,-13.676922,7.741017,-9.109939,-2.4063847,-2.1491003,-3.0134773,3.1739156,glioma
-28.734003,-0.2227006,10.176403,-14.763195,9.160176,-8.477095,-0.46436659,-2.533705,-2.2828507,3.9323614,glioma
-52.87139,-12.023152,1.2023216,-10.949142,2.1546872,-3.130525,-2.7113934,0.47832125,-1.2678258,2.733417,glioma
-32.97722,6.437105,1.3511523,-12.589897,4.0146837,-7.8630238,-5.6114225,-1.064889,-6.4325233,2.6320717,glioma
-40.03593,3.9808571,-2.0125535,-10.107775,4.977659,-6.7169275,-5.5011754,-2.4064596,-5.248653,1.7956002,glioma
-45.28443,3.0368507,-6.5877147,-7.5918417,3.9089258,-4.1962805,-6.063099,-4.2027845,-3.7956,0.9750713,glioma
-38.950897,-6.451666,6.586478,-14.33068,6.091273,-5.056015,-1.6351823,-1.7472733,-1.9171721,3.834996,glioma
-40.751648,-8.301369,6.0164456,-14.965155,5.00205,-4.6967335,-2.2600074,-0.52506053,-3.302918,3.1369898,glioma
-41.243042,-6.9501233,3.2961824,-14.873075,4.171746,-2.9711127,-3.11655,-0.14252423,-3.6585076,2.9974835,glioma
-40.918728,-6.666722,3.0700676,-14.5388565,4.2797365,-2.6174655,-3.3056126,-0.08051223,-2.7359183,2.8859782,glioma
-42.944893,-8.616739,3.2662446,-14.457684,3.4081793,-2.5857508,-3.5552688,0.83281106,-2.3025534,2.781814,glioma
-47.66919,-10.119544,2.3208535,-12.583207,2.5043466,-2.8313117,-3.535755,1.0119745,-1.90531,2.4042473,glioma
-47.0146,-7.9321694,6.0967007,-9.646451,5.9776735,-7.059711,2.0221057,-1.9498596,0.07069586,-2.6638384,glioma
-49.039364,-6.2366533,2.9819686,-7.8156195,6.1934996,-6.386557,-0.2727186,-3.4114892,-1.2057838,-3.149641,glioma
-42.496067,0.611329,1.7269171,-7.113059,7.753044,-7.33736,-1.5703801,-6.8019285,-3.1503224,-3.6684227,glioma
-41.929985,3.3462214,-1.126363,-5.1889796,10.746963,-5.7228293,-4.6720695,-10.706809,-3.802377,-3.170816,glioma
-40.279205,8.256749,-5.7527204,-3.6448212,10.676913,-2.8112624,-7.14232,-11.71998,-1.6255046,-1.7710366,glioma
-44.352165,7.3165946,-10.333129,-2.8234215,5.9143023,-0.6290222,-8.169912,-7.548394,3.0639272,0.9114116,glioma
-41.24022,13.201576,-16.169344,-2.3400047,-3.1705194,0.12694512,-8.976471,-1.5725491,4.653049,2.312273,glioma
-40.01196,0.4796579,4.3523297,-5.578168,9.626974,-7.011465,-1.6965109,-1.3186717,-0.93958133,-1.4504703,glioma
-34.747486,4.85732,4.3449078,-5.543197,9.993916,-7.442176,-2.9108083,-1.4992126,-2.4096808,-1.7504169,glioma
-39.323635,2.9908135,1.4944644,-4.7570853,10.357533,-6.1631837,-5.020774,-5.114738,-3.7689836,-1.5097967,glioma
-26.878386,17.105844,-1.7611575,-6.439449,16.656364,-7.381437,-6.843928,-15.961633,-8.533098,-1.1767025,glioma
-37.97407,-2.8227785,5.6595745,-12.852644,3.4783971,-7.8299346,0.31274605,-5.0292687,-4.1131077,6.1115794,glioma
-36.074272,-2.563935,6.005204,-14.376046,3.1429846,-7.916818,2.465889,-4.5013957,-4.446549,6.6172657,glioma
-43.82346,8.513854,-12.378334,-6.0536356,-1.3882787,-0.9838903,-4.9357467,-4.22782,-2.5022826,2.5083556,glioma
-41.088886,13.446453,-17.57993,-5.9785724,-9.748176,1.4900645,-5.1383924,1.9523526,-0.024460863,3.6703742,glioma
-47.458233,7.64382,-18.26539,-6.1806693,-15.550472,2.2648487,-3.5698807,8.253958,0.073211685,2.372142,glioma
-34.64911,-0.37973607,4.310143,-14.415651,1.9588425,-6.856127,3.159294,-3.4376283,-3.0055997,7.6648917,glioma
-35.735657,-0.19916679,3.330569,-13.555303,2.9459178,-6.100457,3.0374644,-3.8024735,-2.5241425,7.124155,glioma
-38.919926,-0.65080446,1.953571,-12.410325,3.4130533,-5.8646593,2.8077178,-4.400047,-2.4273791,6.57643,glioma
-43.419163,-3.5589767,1.7390188,-11.737991,4.2304273,-5.632566,2.2465591,-4.6220965,-2.444232,5.550617,glioma
-50.17762,-7.2811565,0.42027178,-10.518704,3.3469813,-5.042473,1.6502833,-3.618865,-1.9890677,4.5693393,glioma
-46.45007,-3.2398245,-0.018248893,-10.674552,4.031793,-5.945886,0.4515004,-3.8556716,-3.6278002,4.6877007,glioma
-45.62833,-0.17905079,-1.8637664,-10.065793,3.5293446,-6.0497355,-0.095512114,-3.7868547,-4.1079073,3.9279819,glioma
-46.42923,1.2742018,-4.3640237,-8.586498,3.4059975,-5.453508,-1.347344,-5.0468316,-4.363599,2.740091,glioma
-41.63303,6.085665,-5.0261445,-11.155289,-0.7655993,-5.8063183,3.0879247,-7.187271,-4.9295025,0.40701762,glioma
-43.62663,4.1087823,-5.372054,-10.717163,-1.0019302,-5.643386,3.2544048,-5.9762316,-4.96263,0.2067671,glioma
-44.20638,4.451935,-6.365749,-9.923803,-1.3006566,-5.0056763,2.7694597,-6.1322103,-4.50419,0.30116233,glioma
-46.780045,2.624892,-6.95466,-9.296737,-1.3884368,-4.343262,2.2146547,-5.62335,-3.7039607,0.585649,glioma
-48.29855,1.5316116,-7.2451153,-8.8626375,-1.1902976,-3.8313024,1.6992512,-5.372902,-3.2393742,0.54294515,glioma
-46.75984,3.240937,-8.023525,-8.402823,-1.187526,-3.7053502,0.5644318,-5.887964,-3.8012674,0.73371744,glioma
-41.964413,8.607282,-9.922473,-7.8669724,-1.9859846,-3.764559,-0.48283637,-7.3109508,-4.8288116,0.6654198,glioma
-41.62931,9.767971,-10.728078,-6.955335,-1.1627223,-3.1170964,-1.7875404,-8.37759,-5.1204085,0.65417683,glioma
-39.071606,14.013695,-13.247356,-5.9414487,-1.8009511,-1.601087,-3.6230743,-8.156406,-4.295632,0.9920259,glioma
-42.78648,11.685575,-14.901851,-4.9507723,-4.5305653,0.12468293,-4.4305224,-4.707794,-0.7841293,2.1849706,glioma
-29.771069,18.26016,-10.839328,-6.3840346,0.29899397,-2.349415,-10.2145605,-2.752845,-6.5160904,-1.3622732,glioma
-35.610332,11.095072,-7.3425817,-3.892252,4.4082336,-3.738632,-9.823205,-5.022183,-2.467287,-2.1140797,glioma
-44.593746,1.3602824,-3.6105692,-4.603664,6.879646,-3.8901486,-6.8292236,-6.220309,-2.5453491,-2.3149493,glioma
-32.71562,9.271956,0.21416152,-6.9245176,11.076969,-7.137748,-3.5924137,-10.503197,-5.920477,-3.1896749,glioma
-25.841055,13.279963,2.1232946,-7.0558777,10.678263,-8.819563,-2.8093126,-8.727745,-8.384869,-3.954651,glioma
-31.261786,8.767467,1.1576257,-5.670929,7.296209,-7.1649194,-4.12761,-4.8747063,-5.356325,-3.2103832,glioma
-27.813522,12.894891,-2.8547385,-3.8480978,6.1647997,-4.0378213,-11.2047615,-1.5287851,-4.476603,-1.764328,glioma
-23.869286,16.946844,-4.700889,-3.4477134,6.677921,-3.4032602,-13.072788,-1.3701328,-4.242826,-1.4837863,glioma
-35.817623,18.13014,-15.133925,-3.8599615,1.6377016,-1.079075,-8.170904,-9.025854,0.01878925,2.540688,glioma
-33.879578,22.59268,-21.381477,-3.4325733,-11.038257,0.9908716,-8.095282,2.3229005,3.9544563,4.0776486,glioma
-41.162804,15.701634,-21.979952,-3.5243905,-19.471565,1.9389075,-5.278806,11.175447,2.1333222,1.8801898,glioma
-45.584457,-1.9532931,2.2121282,-5.317389,8.017988,-4.932924,-0.39604506,-5.0749006,-0.95771515,0.07724496,glioma
-39.873775,2.7856965,1.834074,-5.500945,5.764167,-5.484481,1.3363158,-1.4903939,-0.076084875,0.3029592,glioma
-44.999878,6.85497,-10.554614,-2.237043,2.916284,-0.9996036,-6.328924,-5.9058065,2.1413963,2.3340704,glioma
-34.112484,7.008354,3.5217104,-4.356101,6.6755214,-5.881957,3.314837,1.1643515,2.1472614,0.098865725,glioma
-37.66896,3.9659271,3.567357,-3.836283,7.1744413,-5.2419996,3.0787864,0.7790852,2.2337146,0.0044773547,glioma
-33.39592,8.292235,2.574621,-3.7545307,7.3869114,-5.651003,1.9123856,-0.10937591,1.1238666,-0.057048082,glioma
-47.501884,-2.9910948,1.0061885,-4.28607,5.844199,-3.9859295,1.0766609,-0.3474391,1.2261698,0.10424975,glioma
-43.316628,4.066947,-4.2477756,-2.9806626,6.7412066,-2.5876353,-3.7337162,-4.743079,0.14188777,0.29911563,glioma
-46.582546,2.8708644,-6.6245427,-2.5246685,5.5173264,-1.8123788,-4.8145924,-5.8002114,1.0386828,0.9732113,glioma
-46.929768,6.1797557,-11.238578,-5.0107408,-0.42543426,-1.6492053,-4.005225,-6.135566,-1.042092,-0.2378164,glioma
-54.78283,-1.50166,-10.163264,-4.946724,-0.58430713,-0.6162059,-3.3506243,-4.391354,0.29968917,-0.10862617,glioma
-51.53777,2.5596967,-12.075772,-4.7886477,-2.5035408,-0.15889513,-4.052388,-3.3335972,1.38261,0.19254269,glioma
-58.671246,-4.3476906,-11.337543,-4.740931,-4.1283836,0.48476925,-3.510632,-0.24125274,3.1101317,0.8001251,glioma
-57.18679,-2.0327725,-13.28477,-4.830526,-8.266005,0.63726467,-3.3564966,2.6118314,3.636634,0.8616994,glioma
-51.619843,3.9078906,-16.688814,-4.982153,-13.927355,0.8429187,-3.380699,6.220477,3.1877668,0.6121271,glioma
-48.37722,7.977975,-19.413454,-5.4279556,-19.924686,0.94837844,-2.3735914,9.458455,1.0312519,-0.98311716,glioma
